年级,单词,释义,英文句子,中文翻译
5,liberty,自由,We all value liberty and strive to protect it.,我们都珍视自由，并努力保护它。
5,license,执照,You need a license to drive a car.,你需要驾照才能开车。
6,lid,盖子,Can you close the lid of the box?,你能关上盒子的盖子吗？
3,life,生活,Life is full of beautiful moments.,生活充满了美好的瞬间。
6,lifetime,一生,She hopes to achieve her dreams in her lifetime.,她希望在有生之年实现自己的梦想。
5,lift,举起,Can you help me lift this heavy box?,你能帮我搬这个重箱子吗？
4,lighthouse,灯塔,The lighthouse guides ships safely at night.,灯塔在夜间引导船只安全航行。
5,lightning,闪电,Lightning flashed brightly in the sky.,天空中闪过明亮的闪电。
3,like,喜欢,I like reading books.,我喜欢读书。
5,limit,限制,We need to set a limit on daily screen time.,我们需要设定每日屏幕使用时间的限制。
6,limitation,限制,Every plan has a limitation.,每个计划都有其局限性。
6,liner,班轮,The ocean liner sailed smoothly across the Atlantic.,这艘远洋客轮平稳地横渡大西洋。
5,link,链接,I need to find a link to the document.,我需要找到该文档的链接。
1,lion,狮子,The lion is a big cat.,狮子是一种大型猫科动物。
3,lip,嘴唇,She bit her lip nervously.,她紧张地咬着嘴唇。
5,liquid,液体,Water is a common liquid found everywhere.,水是一种随处可见的常见液体。
4,list,列表,I need to make a list of things to buy.,我需要列一个购物清单。
5,listener,听众,The listener nodded carefully during the speech.,听众在演讲期间仔细地点了点头。
6,literature,文学,She enjoys reading classic literature in her free time.,她喜欢在空闲时间阅读古典文学
5,litter,垃圾,Please do not litter in the park.,请勿在公园乱扔垃圾
1,little,小的,I have a little cat.,我有一只小猫
3,live,居住,We live in a small house.,我们住在一个小房子里。
6,liver,肝脏,The liver is an important organ in the body.,肝脏是人体内一个重要的器官。
4,load,加载,Please load the file onto the computer.,请把文件加载到电脑上。
6,loan,贷款,I need to get a loan to buy a car.,我需要贷款买一辆车。
6,lobby,大厅,We are waiting in the lobby for our friends.,我们正在大堂等我们的朋友。
5,locate,定位,Can you help me locate my lost keys?,你能帮我找到我丢失的钥匙吗？
5,location,位置,I need to find the location of the nearest park.,我需要找到最近的公园的位置。
5,log,日志,I need to log my daily activities.,我需要记录我的日常活动。
6,logic,逻辑,Logic helps us solve problems clearly.,逻辑帮助我们清晰地解决问题。
6,loop,循环,The program will loop until it finishes the task.,该程序将循环运行直到完成任务。
5,loose,松的,The buttons on my shirt are loose.,我衬衫上的纽扣松了。
6,loosen,松开,Please loosen the screw so we can open the box.,请松开螺丝，这样我们就能打开盒子了。
6,lorry,卡车,The lorry is carrying goods to the warehouse.,卡车正在把货物运往仓库。
4,lose,失去,I don't want to lose my keys again.,我不想再弄丢我的钥匙了
6,loss,损失,The company reported a loss in the last quarter.,该公司上一季度报告亏损。
3,lot,许多,I have a lot of books on my shelf.,我的书架上有很多书。
6,louse,虱子,The louse is a small insect that lives on the bodies of humans or animals.,虱子是一种生活在人类或动物身体上的小昆虫。
5,lover,爱人,She is my lover.,她是我的爱人。
5,loyalty,忠诚,Her loyalty to her friends is unwavering.,她对朋友的忠诚坚定不移。
4,luck,运气,I wish you good luck every day.,我祝你每天都好运
5,luggage,行李,I need to collect my luggage from the airport carousel.,我需要从机场行李传送带领取我的行李。
6,lumber,木材,They use lumber to build the house.,他们用木材建造房子。
3,lunch,午餐,I have lunch at noon.,我中午吃午饭。
6,luxury,奢侈,She dreams of owning a luxury car someday.,她梦想有一天能拥有一辆豪华轿车。
5,machine,机器,This machine helps us work faster.,这台机器帮助我们更快地工作。
6,machinery,机械,The factory uses new machinery to increase production.,这家工厂使用新机器来提高产量。
4,madam,女士,The madam greeted us warmly at the door.,夫人在门口热情地迎接了我们。
6,madame,夫人,Madame smiled politely at the guests.,夫人礼貌地对客人们微笑。
5,magazine,杂志,I read a magazine every morning.,我每天早上看杂志。
3,magic,魔法,The magic wand can make flowers appear.,这根魔法棒能让花朵出现。
6,magnet,磁铁,A magnet can attract iron objects easily.,磁铁能轻易吸引铁制品。
5,maid,女仆,The maid cleans the room every morning.,女仆每天早上打扫房间。
6,maiden,少女,The maiden walked through the garden with a smile.,少女微笑着穿过花园。
3,mail,邮件,I need to send an important mail today.,我今天需要发送一封重要的邮件。
5,mailbox,邮箱,I checked the mailbox for letters this morning.,今天早上我检查邮箱里的信件了。
6,mainland,大陆,I visited the mainland last summer.,我去年夏天访问了大陆。
6,maintain,维持,We need to maintain a healthy lifestyle every day.,我们需要每天保持健康的生活方式。
6,maintenance,维护,The building needs regular maintenance to stay in good condition.,这栋建筑需要定期维护以保持良好状态。
6,majesty,陛下,The king's majesty impressed everyone in the hall.,国王的威严给大厅里的每个人都留下了深刻印象。
6,major,专业,She plans to choose biology as her major in college.,她计划在大学里选择生物学作为她的专业。
3,make,制作,I make a cake.,我做一个蛋糕。
5,male,男性,The male is playing basketball in the park.,那个男性正在公园里打篮球。
6,malfunction,故障,The machine had a sudden malfunction during operation.,这台机器在运行过程中突然发生了故障。
5,mall,商场,I often go to the mall on weekends.,我经常在周末去商场。
1,man,男人,The man walks in the park.,那个男人在公园里散步。
5,manage,管理,She can manage her time well.,她能很好地管理自己的时间。
6,management,管理,Good management is key to a successful project.,良好的管理是项目成功的关键。
5,manager,经理,The manager is having a meeting now.,经理正在开会
6,mankind,人类,Mankind has made great progress in science.,人类在科学领域取得了巨大进步。
5,manner,方式,She spoke in a polite manner.,她说话彬彬有礼。
5,manual,手册,Please read the manual carefully before using the machine.,使用机器前请仔细阅读说明书。
6,manufacture,制造,Factories manufacture various products every day.,工厂每天生产各种各样的产品。
1,many,许多,Many students like reading books.,许多学生喜欢读书。
4,map,地图,I need a map to find the park.,我需要一张地图来找公园。
5,maple,枫树,The maple tree turns red in autumn.,枫树在秋天变红。
3,march,行进,We will march forward together.,我们将共同前进。
3,March,三月,I like to go hiking in March.,我喜欢在三月去远足。
5,margin,边缘,She wrote notes in the margin of her book.,她在书的页边空白处做了笔记。
3,mark,标记,Please mark your name on the paper.,请在纸上写上你的名字。
5,market,市场,I went to the market to buy some fruits.,我去市场买了一些水果。
5,marriage,婚姻,Marriage is a special bond between two people.,婚姻是两个人之间的特殊纽带
5,marry,结婚,She wants to marry her childhood friend.,她想嫁给她的童年好友。
5,mask,面具,She used a mask to protect her face.,她用口罩保护她的脸。
5,mass,质量,The mass of the object is five kilograms.,该物体的质量是五千克
6,master,主人,He wants to master the art of cooking.,他想掌握烹饪艺术。
6,masterpiece,杰作,This painting is a true masterpiece.,这幅画是真正的杰作。
3,mat,垫子,I need a mat to clean my shoes.,我需要一块擦鞋的垫子。
5,match,比赛,I want to find a match for this puzzle piece.,我想为这个拼图块找到匹配的部分。
5,mate,伙伴,I will meet my mate at the park this afternoon.,今天下午我将在公园见我的伙伴。
5,material,材料,We need to collect enough material for the project.,我们需要为这个项目收集足够的材料。
3,mathematics,数学,I enjoy learning mathematics at school.,我喜欢在学校学习数学。
1,maths,数学,I like studying maths every day.,我喜欢每天学习数学。
5,matter,事情,This matter needs to be discussed immediately.,这件事需要立即讨论。
3,May,五月,May is a beautiful month with flowers blooming.,五月是鲜花盛开的美丽月份。
3,maybe,可能,Maybe we can go to the park tomorrow.,也许我们明天可以去公园。
